brand,model,part,price
HONDA,City,Bonnet,15000
HONDA,City,Bumper,10000
HONDA,City,Dickey,8000
HONDA,City,Door,20000
HONDA,City,Fender,5000
HONDA,City,Light,3000
HONDA,City,Windshield,8000
HONDA,Amaze,Bonnet,12000
HONDA,Amaze,Bumper,8000
HONDA,Amaze,Dickey,6000
HONDA,Amaze,Door,18000
HONDA,Amaze,Fender,4000
HONDA,Amaze,Light,2500
HONDA,Amaze,Windshield,7000
HONDA,WR-V,Bonnet,16000
HONDA,WR-V,Bumper,11000
HONDA,WR-V,Dickey,9000
HONDA,WR-V,Door,22000
HONDA,WR-V,Fender,6000
HONDA,WR-V,Light,3500
HONDA,WR-V,Windshield,9000
HONDA,Jazz,Bonnet,14000
HONDA,Jazz,Bumper,9000
HONDA,Jazz,Dickey,7000
HONDA,Jazz,Door,19000
HONDA,Jazz,Fender,4500
HONDA,Jazz,Light,2800
HONDA,Jazz,Windshield,8000
HONDA,HR-V,Bonnet,18000
HONDA,HR-V,Bumper,12000
HONDA,HR-V,Dickey,10000
HONDA,HR-V,Door,24000
HONDA,HR-V,Fender,7000
HONDA,HR-V,Light,4000
HONDA,HR-V,Windshield,10000
HONDA,Pilot,Bonnet,22000
HONDA,Pilot,Bumper,15000
HONDA,Pilot,Dickey,13000
HONDA,Pilot,Door,28000
HONDA,Pilot,Fender,8000
HONDA,Pilot,Light,5000
HONDA,Pilot,Windshield,12000
HONDA,CR-V,Bonnet,20000
HONDA,CR-V,Bumper,13000
HONDA,CR-V,Dickey,11000
HONDA,CR-V,Door,26000
HONDA,CR-V,Fender,7500
HONDA,CR-V,Light,4500
HONDA,CR-V,Windshield,11000
HONDA,Accord,Bonnet,22000
HONDA,Accord,Bumper,15000
HONDA,Accord,Dickey,13000
HONDA,Accord,Door,28000
HONDA,Accord,Fender,8000
HONDA,Accord,Light,5000
HONDA,Accord,Windshield,12000
HONDA,Civic,Bonnet,18000
HONDA,Civic,Bumper,12000
HONDA,Civic,Dickey,10000
HONDA,Civic,Door,24000
HONDA,Civic,Fender,7000
HONDA,Civic,Light,4000
HONDA,Civic,Windshield,10000
"MARUTI SUZUKI",Swift,Bonnet,10000
"MARUTI SUZUKI",Swift,Bumper,7000
"MARUTI SUZUKI",Swift,Dickey,5000
"MARUTI SUZUKI",Swift,Door,15000
"MARUTI SUZUKI",Swift,Fender,3000
"MARUTI SUZUKI",Swift,Light,2000
"MARUTI SUZUKI",Swift,Windshield,6000
